character,dialogue
WALT,yeah high school teacher cant even remember last time set foot real lab ive loop twenty year
WALT,least going part household dinner family every night week
JESSE,twoohone point six
SKYLER,cant get another danny run car wash
JESSE,dunno maybe way said like wasnt exactly sayin sucked askin honestly got reason thought yeah man better
SKYLER,whose truck
HANK,pain foot as marie
SAUL,twelve old time sake twelve
WALT,yeah see
WALT,yeah
WALT,anyone watching place
WALT,please tell found
JESSE,hey ticktock yo
WALT,well dont keep waiting
WALT,
JESSE,look like shadow care he
MARIE,gon na work youve good many year
JESSE,hey sup
WALT,hey margaret
WALT,life death
SKYLER,win lottery tell
WALT,alright deal
WALT,couldnt chance saying inside know lab wired sound
SKYLER,safe
JESSE,dont got like eight anal thing got ta first
MIKE,
SAUL,wait wait wait hey lady thank good job come back
MIKE,im looking find client hoping could help address
GUS,please
WALT,hank could cut chase
WALT,spillage
JESSE,like thats science stuff make
SKYLER,first trimester yes
WALT JR,
JESSE,wait whoa said kid coming home
WALT,something playing card spoke make nice motory sound
MARIE,hey wasnt planning agreeing walt hearing talk future like doesnt even say
JESSE,thanks
MARIE,yes happens time year training body acted faster brain choice hit fight back
WALT,yes statistical um
WALT,curious
JESSE,happened
SAUL,youre officially cute one group paul meet ringo ringo paul
MIKE,ill bet hed come running boom
HANK,well im curious theft never reported im seeing record police dmv
HANK,welded onto back house well thats classy christ okay thanks
SKYLER,hello
MIKE,let get comfortable
WALT,werent supposed
WALT,hi
SAUL,gim phone give
WALT,hello
JESSE,hey know magical power wan na see ready
WALT,holding
WALT,take belongs
GUS,explain man white betrayed cousin tuco yes he one murdered
MARIE,probably still lockout
SKYLER,know youre asked
WALT,jesse cmon help
MARIE,could walt
WALT,im okay really
JESSE,totally uhn god
JESSE,mean
HANK,oh hey turn
JESSE,hello
SKYLER,mean personally feel decision youre making best interest family unit opinion
SAUL,youre sure
JESSE,yknow escalate
WALT,ah im noting little hole plot though would estranged husband
JESSE,okay guy using kid like got ta go right
MIKE,bos
SKYLER,walt always pay bill
WALT,thought anymore meaning reconsidered
JESSE,want get
SAUL,look like rv disposal people plan contingency
SKYLER,love family desperately want reconciliation though may hopeless futile hed try anything
JESSE,hell
SKYLER,
SAUL,yeah want stay criminal become say convict maybe grow listen lawyer
JESSE,twoohone point eight
SAUL,whoawhoa walt hold hey offer may ask
JESSE,yeah well well see
SKYLER,marie ive got nothing say
WALT,thats wanted right
WALT,yes understand
MARIE,squeezed orange juice want glass orange juice
GUS,try clean every night make sure open intake valve
WALT,uh nah
SKYLER,actually asked doctor
WALT JR,hey dad
SKYLER,dont know cant believe could stubborn stupid would anyone right mind choose get treatment completely paid would u
HANK,im man thought think im done cop
MARIE,everything change youve got prepare
JESSE,one teenth thats
WALT,time
JESSE,sup brock huh thats cool name give
WALT JR,wont tell whats
SKYLER,well think um probably table discussion later dad couple thing talk
WALT,oh youre never going see hank crossed think
WALT,ship asis
SAUL,thats joke kid aint coming
WALT,excellent thats good jesse thats excellent
MARIE,seeing see
WALT JR,said anything god stupid air traffic controller
SKYLER,never find anything buick
SAUL,ive heard uh he american hero
SKYLER,whose loanout
GUS,excellent help
HANK,um go
WALT,stupid present
HANK,name
JESSE,dipshit customer theyre gon na demand certain standard stuff didnt cut
WALT,look skyler dont know kind relationship picture person
SKYLER,hi hope late
WALT,dont mean jail jail jail im talking one situation youre orange jumpsuit picking litter along highway
SKYLER,warning call mean
GUS,worthless junkie intervene put u risk contemptible junkie couldnt keep peace eight hour
MIKE,huh learn kind thing
SKYLER,okay
SKYLER,put mind uh well know walt heshes problem solver read book whole bunch research came system
SKYLER,whats going asleep
HANK,yeah thats correct
JESSE,bullshit say say word think im stealing
JESSE,hey wait thing
SKYLER,damned know described midcentury objet dart
MARIE,easy say youre one im medical professional see people situation time dont want spend last month dying slowly hospital picked doctor unable get bed go bathroom really want walt
WALT,could known took tape say say
WALT JR,he still he house
SKYLER,go ahead tell dad feel
SKYLER,dont get em theyre tight
JESSE,chemical poisonous
HANK,pipe
JESSE,yo
JESSE,want
HANK,nothing gon na happen
WALT JR,um foot okay
WALT,alright bring ready okay good
JESSE,name
WALT,mean fly housefly
SKYLER,
JESSE,yeah thanks
WALT JR,mean pick
GUS,much question
SKYLER,day
JESSE,key combine hydriodic acid pseudo cook voila freebase meth oil
SKYLER,whwhats danny
JESSE,contamination
JESSE,high stuff thats getting okay look say he getting forty pound alright two hundred pound week three month
SKYLER,ted got ta amazing invention ever
JESSE,hey yo
JESSE,man really cant say im really following
MARIE,remind bring home
JESSE,andrea right
MARIE,wan na case wake
JESSE,hey um name jesse uh
SKYLER,name
HANK,mean great way get family together affordable vacation mustve quite blow went missing
WALT,move jaw around move around
WALT JR,yell
WALT JR,wondering could u favor buy u six bud light forgot id
HANK,alright ill tell gon na check couple call morning okay whaddaya say
WALT,okay three
WALT,hank much money
MARIE,im seeing
MIKE,give hug see mom dont keep waiting
MARIE,
JESSE,get u couple flunky treat u right
JESSE,good
JESSE,sorry lunatic
SKYLER,hank want supportive
MARIE,whats walt lately
WALT,
WALT,hank work tell u youll let drop
MARIE,hey
SKYLER,see there kinda flow going nice big living room um dining area
MARIE,tell there way around know know
JESSE,either run thing face mr white
WALT JR,ohdamn hell yeah
JESSE,thats james bond drink mofos im
GUS,told kill walter white business concluded
SAUL,okay yeah exactly know mean searched
WALT,hi youre new lab assistant take
JESSE,look like making cherry product let keep real alright make poison people dont care alright probably unpicky customer world
HANK,marie wrong
WALT,alright ionic bond chapter six
SKYLER,want go ask another
WALT,jesse jesse
WALT,chemical change chemistry study change
MARIE,hank
SKYLER,
GUS,mean
SAUL,ten percent future profit solo venture thats money get paid simply walking mailbox
JESSE,know janes dad accidentally crashed together cause torn
SAUL,ill call pi
HANK,know itll get outta quicker youve got one minute
SAUL,danny run laser tag danny guy vision others saw dirt lot saw black light rubber alien teenager running around ray gun right like bugsy siegel desert stock market took shit danny got trouble went searching exactly type situation offering okay danny look way keep dream afloat word danny trusted completely
JESSE,wan na cook crystal meth
HANK,equipment hell mean
JESSE,talking
JESSE,heard say five said right front
WALT,uh tthank
JESSE,door check like real one
WALT,god name danny
JESSE,didnt take shit
MARIE,sky got first bill know youre still insistent
MIKE,well didnt find
GUS,thats interesting
WALT,invitation
GUS,well thats best way business
WALT JR,aunt mary coming dinner
SAUL,jesus plan go get fed
MIKE,dunno walt
HANK,wan na come meet bad guy
JESSE,hey got kid right whats name
WALT JR,looked new mexico say need note doctor
JESSE,hey martin
SKYLER,know youre scared youre alone gon na every step way
WALT,ill give jesse pinkman
SKYLER,tell
SKYLER,want gone monday morning
JESSE,like vagina ever saw
MARIE,one minute alright thats cakewalk
JESSE,oh well case ill two andand want tall skinny glass like skinny glass
HANK,gomie time little bird fly nest huh
JESSE,know woman buy two twice week alright
MARIE,
WALT,punitive happily married
JESSE,hey got ta go alright got entire thing figured
JESSE,hey wait thing
JESSE,take cream sugar
JESSE,mr white understand fly serious thing alright im onboard im saying know maybe went got air would help u come plan catch come back subtract as
SKYLER,okay
MIKE,im making inquiry
SKYLER,every night
HANK,youre okay
SKYLER,okay stan husband walt
WALT,ah dining area right
HANK,leave ball wife purse
WALT JR,hell going
GUS,ah walter youre right time please come
MARIE,think whatever want
SKYLER,name
HANK,walt say word ill take ridealong watch u knock meth lab
WALT,maybe
WALT,
WALT JR,doesnt matter provisional look changed law like ten year ago
HANK,sure happy
WALT,thinking might nice little family time weekend
HANK,yeah who
WALT,nobody looking
SKYLER,show flaw
HANK,schrader
WALT,im one who sick
HANK,come
JESSE,cop catch give want
WALT JR,dad get stop
WALT,
WALT,yeo tell lyx u ia
JESSE,yeah yeah yeah million half whoopdedoo whats getting huh
MARIE,well
JESSE,talk lawyer alright hey hear got nuthin say
WALT,awake
HANK,dont friend mean jesus find something better dont need everyone staring hangin like camel ball sac
JESSE,whatre bringing
JESSE,mine much dont get
MARIE,would like
MIKE,gon na need come
MARIE,wine would like glass
SKYLER,he gon na future doesnt get treatment
WALT,watched die watched overdose choke death couldve saved didnt
SKYLER,tell
JESSE,dont give shit said good im noth ing would want huh said meth inferior right right hey said cook garbage screw man screw
GUS,walter would like help could
WALT JR,yes sir
JESSE,dickhead
HANK,somebody take please
SKYLER,um walt say he going anywhere
SKYLER,ill danny
WALT,know moment
JESSE,mr white sit
JESSE,
JESSE,must thailandhot thats like
SKYLER,oh marie
SKYLER,dont go get dad
WALT,listen weve got problem dea problem
WALT,dont suppose came insult
GUS,enjoy meal
MARIE,alright get walking
JESSE,know youre thinking trust gon na like never gon na like
SKYLER,go walt
WALT,know still unpacking finding place everything
WALT JR,dad
HANK,okay walt look way bottom ninth base loaded youre got bum arm know cant hit homer either let pinch hitter take bat hold onto pride lose game get im sayin
MIKE,
JESSE,aint welcome back kotter step speech
SKYLER,yknow im bookkeeper actually know money laundering
SKYLER,thought going approach walter jr
JESSE,whatever later
WALT,wouldve perfect
WALT,hanodneaynswweerveed asked
WALT,rv one contains meth lab covered fingerprint ring bell
GUS,id like hear offer notwithstanding
JESSE,know methhead stood brotherinlaw alright questioned five hour didnt give know know cause youre prison right
JESSE,uh yeah
JESSE,little maybe
MARIE,cheese stick youre gon na fight hank
JESSE,alright see ya tomorrow
SKYLER,legitimate reason could possibly
JESSE,thats charity work sits around fat as judging people
SKYLER,im fine thanks
MARIE,im sure reason
GUS,child always family always priority responsibility man man provides even he appreciated respected even loved simply bear he man
WALT JR,dad stop talk please
JESSE,need juice maybe
WALT,fly
SKYLER,oh there uh breakfast bar kinda dealie nice um kitchen really spacious know got good appliance
SAUL,secure yes whats
JESSE,freakin clue
WALT,take mask
SKYLER,say money
WALT,skyler put please well figure everything
JESSE,flunked remember prick let tell something else shit aint chemistry shit art cooking art shit cook bomb dont telling
SAUL,based year experience money laundering suppose
SKYLER,anyway system finally got work
SKYLER,marie take money use take care hank
WALT,three million
JESSE,im bad guy
SKYLER,youre gon na launder money walt least right
MARIE,mostly fine okay well there ringing endorsement
JESSE,acceptable every jibbhead timbuktu gon na want taste gon na like sir would care replace schwinn bicycle brandnew ferrari shit
MARIE,like somethings eating away inside he he facing death change person dont think
MARIE,system
JESSE,
SAUL,okay pay
SKYLER,hank
SAUL,scratch piece paper somewhere
GUS,three million three month agreement extended annually twelve million year
WALT,five
SKYLER,name
JESSE,night
JESSE,cloudy sposed cloudy last time glass sparkled like diamond
WALT JR,cmon uncle hank else gon na get
SKYLER,three told theyre pretty good size
JESSE,huh see crystal big look like somebody broke window look like youd cut nose try
HANK,seeing
JESSE,dont sweat alright youre hey nobody gon na know anything
JESSE,man
SAUL,nail salon right take dirty money slip salon nice clean cash flow thats called layering
JESSE,there got way
MARIE,tell get groundhog see shadow
WALT,well let stretch price range truly mean buy starter house well move year two
HANK,take back said agree marie walt want die like man
SAUL,im reasonable guy short term deal ten even cant go lower still respect
GUS,okay let put pepper
WALT JR,uh dont think either working right
SAUL,come got ta cheer
JESSE,come man told find tape
WALT,secure line
JESSE,basic chemistry yo got something
SKYLER,um really got ta head home
GUS,may take yes
WALT,wouldnt know
WALT,anyway anyway he insisting
WALT,yeah let see shall put im youre
MIKE,right
SKYLER,took child
MARIE,prepare
GUS,understand problem two employee
WALT,seriously youre bad idea
JESSE,yeah totally kafkaesque
HANK,okay
SKYLER,truth
SKYLER,dont even know say go room ill deal later
MARIE,let em dont care someone walk
WALT,please marie let u help
SKYLER,
SAUL,think bluff want brotherinlaw there gon na parade lawyer creaming underoos case like mean id take wouldnt cause much collateral damage
JESSE,
HANK,hello
WALT,definitely surgery oh christ damn second cell phone mean could possibly
WALT,dont take little break
MARIE,thats skyler told
WALT,back elliott grad school came name schwartz black walter white black white make gray gray matter technology
JESSE,gon na cook house dont shit eat
MIKE,well little hed probably knock everything plus there big nose
SKYLER,thought maybe um there way could help
JESSE,turning money turning get want nothing ever since met everything ever cared gone ruined turned shit dead ever since hooked great heisenberg
JESSE,weird doesnt compute youre like crazy something youve gone crazy depressed im saying thats something need know affect
GUS,three month
WALT,ohyes hi iim sorry ill uh ill right
HANK,bet as cavalry coming
GUS,fancy name fish stew
WALT,ive got coffee coffee tap water beveragewise base covered coffee tap water chaser perhaps
JESSE,dont think matter uh
SAUL,due respect dont see vote vote
SAUL,uh advice thats probably good strategy mean theyre scared right want nothing hit theyre forced hit back hard mean turn every rock hither thither yon someone spill bean andand anyone associated present company included
WALT,well good morning apologize running bit late uh
HANK,back lost trying track former student jesse pinkman know know upon time may uh dealt little weed
WALT,jesse look im fine dont please focus
SAUL,yeah attorneyclient privilege mean thats big one thats something provide give pinkman well youre gon na asking old
JESSE,gon na help
SKYLER,there elliott talking ali macgraw
WALT,oh god led right u
WALT,desired product gas form
JESSE,need ricin
JESSE,combo u man one u mean nothing
WALT,quit parttime job ive got four hour devote every afternoon
SKYLER,walt
JESSE,okay business
HANK,janice im uh im dead water
JESSE,oh im gon na say jack im gon na say plenty
JESSE,im gon na go limb say uh yeah
GUS,oh thank im sorry inconvenience
WALT,telling
JESSE,isnt even seven grand alright guy want eightyfive
MIKE,tihadto nt seepaoninytsign
SKYLER,seems safest way make best bad situation yes
SKYLER,youre home early
GUS,gale good see
SKYLER,okay
SKYLER,
MARIE,thats good keep talking protest struggle
GUS,garlic
HANK,got drink around
JESSE,whaddya think
JESSE,learned rehab accepting really
JESSE,could get
SKYLER,he great
WALT,mention bunsen burner hed go rant didnt actually invent improved easy way kill fifteen minute
MARIE,hi
GUS,called first im interrupting anything
JESSE,im better
SKYLER,bring back
HANK,tried fight el paso gotten worse pinkman thats im supposed thats
WALT,correct sitting stop light minding business man thethe kid threw bag money window
WALT,got destroy evidence got ta rig burn wdo understand
WALT,jesse listen murderer im youre simple
JESSE,yeah vestige
JESSE,yeah
SAUL,hmm gon na two flip coin since genius cant bothered
MARIE,two managed right said elliot gretchens money didnt cover everything
HANK,fight good fight brother
WALT,fit like
HANK,know youre youre foolish know come whats point
JESSE,yeah hed uh hed shoot head yeah hed shoot head
HANK,hey buddy
HANK,almost seven hundred thousand pretty good haul
SKYLER,tell happened wheres hank please need know
JESSE,following airplane crash
SKYLER,absolutely need keep way
WALT,jesse minute late im starting without
JESSE,thats weird
HANK,know enemy
WALT JR,name
JESSE,hey got nothing yo alright call lawyer
SKYLER,try blini caviar little dab creme fraiche oh god mustve eaten thirty sucker
SKYLER,name
JESSE,skinny youre charge supply ill get list
HANK,yeah tell gon na go peek head check stay minute
SKYLER,name
WALT,look didnt give name hank beating senseless he never going talk
JESSE,mr white know two junky duffel bag fulla cash like said woulda dead within week
JESSE,sorry ii
JESSE,jesus martin gon na couple day
WALT,good see
HANK,nah im bed reason
SKYLER,thank
WALT,paid extraordinarily well cant appreciate
WALT,im private domicile wont harassed
SKYLER,kinda feel right know new favorite
WALT,hey
WALT,got old job back
WALT,sure
JESSE,yeah know stuff get spilled
SKYLER,theyll say theyre denying coverage
MARIE,oh youre ted ive heard much thank gift basket thoughtful
SKYLER,im gon na make deal walt wont tell hank child anybody else nobody ever hear grant divorce stay life
MARIE,afraid youll lose
SAUL,tax man he looking see see young fella big fancy house unlimited cash supply job conclusion tax man make
SKYLER,mean negotiated
JESSE,like interesting life uh one day pretty much bleeds next
HANK,christian ortega
SKYLER,seafood table lobster tail crab leg oyster
WALT,want key house
SKYLER,yeah yeah yeah absolutely absolutely fatten baby
MARIE,know screw im gon na make sure get need reimburse later
SAUL,okay let bottom line dont need involved okay ive lot year successfully believe without help
SKYLER,honey want another waffle
JESSE,janes dad
GUS,shake hand
JESSE,hate
MARIE,next week uh thats gon na ive looked sooner physical therapy begin better chance
MARIE,name
HANK,told kid getting doobage
WALT JR,doesnt matter voted law
WALT,well maybe could head turquoise trail stop tinkertown maybe grab lunch madrid
SKYLER,please tell youre taking money
JESSE,
JESSE,like hit bone
SKYLER,investment
SKYLER,think marie know truth
GUS,large investment
JESSE,yeah yeah he cool
SKYLER,im perfectly capable managing small business
GUS,hope like paila marina
JESSE,talking
JESSE,yo somebody got axe use
JESSE,dammit
SAUL,ouch mistake didnt launder money give money thats called placement hand little thing
GUS,good see
SAUL,hey finally went ahead started without
SKYLER,four
SKYLER,youve got nice tulip good baby breath
JESSE,getouttajail free card
SKYLER,thank
JESSE,yo thought gon na see like vagina
JESSE,need help
WALT JR,theyrepreshrunk
GUS,
SKYLER,dont remember asking alright wan na supportive supportive without prying god sake
SKYLER,yeah okay um last thing ill let go
WALT,skyler think weve paying bill last six month
MIKE,shut shut cant im sorry
WALT JR,mom mom put
JESSE,okay
HANK,baby wasnt right thing job im supposed better
WALT JR,hey mom
WALT,would say
WALT,
SKYLER,stop oh god please
WALT,oh water mar
MARIE,trick expression
JESSE,like hurt huh
HANK,exactly supposed make feel better
HANK,im good
MARIE,good good jesus god know im relieved
MARIE,somebody bought
WALT,said maybe maybe bugged
WALT JR,um great dinner mom um excused
JESSE,yes alright livin large playas
WALT,let understand youre turning one half million dollar
MARIE,he gone
WALT,hey
SKYLER,nonono rest look dont go take long bath put fresh sheet bed
WALT,yes may sound unorthodox think first best option jesse pinkman
JESSE,family
JESSE,anyway better
JESSE,hey
HANK,im gon na bet whether get boner there bet bet bet
WALT,well discus later
WALT JR,seriously whawhat kind business
JESSE,howd find
WALT,
SAUL,knew could count boy play nice thats almost brings tear eye
SKYLER,hi whats going
HANK,yeah well thats rule
SKYLER,im sorry
WALT,exactly
MARIE,wow mouth babe huh
MIKE,dont know barrel leak got something mighty stinky
SAUL,fair enough ill walk process first step something like call money laundering alright take youre money represented say jelly bean
SKYLER,met reserve there still two minute
WALT JR,thank please hand car wash professional day
HANK,thats spirit
SAUL,cant tell mike alright look tell well couldnt live im sorry
WALT,sure
WALT,fine
JESSE,real one
GUS,men outside trusted employee learned intended
MIKE,right give address
SKYLER,safe
HANK,um rv
WALT,absolutely appreciate offer turn insurance came
JESSE,frickin psycho ahh
MARIE,wait till see bedroom em move plasma know thats always wanted get shot get right got new bed
MARIE,want make breakfast
JESSE,heard kinda mom get wasted little kid take care
JESSE,
WALT,he still son mean remain
HANK,yes
SKYLER,yeah let sit
JESSE,
SKYLER,want help bad thing
JESSE,yeah yeah
SKYLER,whats name qualification walt
HANK,yes sir
JESSE,hell yeah im back vengeance nigga got ta make living cousin gone away
WALT,one fine
HANK,howd talk whore working
WALT JR,dunno
WALT JR,shit comeon isthe best wait wait
SKYLER,dont care walt
SKYLER,sixteen year
WALT,home andand needed diaper said id go excuse actually night brought money remember
SKYLER,need mow point id except always throw rock think need new bag
SKYLER,flynn
WALT JR,alright
JESSE,perfect moment drop dead
WALT JR,hang said
SKYLER,god havent forever
WALT,bin packed
MARIE,hey howd go last night
JESSE,know im moving slowly yeah absolutely im gon na need swatter thing come oh yeah okay come
WALT,
JESSE,mean much sold
SKYLER,well he certainly lot safer isnt
SKYLER,supposed compromise care
JESSE,found stuff internet take day kick keep quiet wont ever come back
GUS,wasnt man respect would dealing different way
JESSE,yeah ive heard yknow dont think ridiculous society say beer okay little hit something sweet wrong
WALT JR,uncle hank dead
